epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.985297,1.782762,0.368800,203.733529
2,1.566755,1.447924,0.482200,200.084119
3,1.389568,1.451834,0.508200,200.102496
4,1.240177,1.144939,0.592800,200.204380
5,1.111679,1.010441,0.645000,200.125722
6,1.010262,1.203879,0.595600,200.144397
7,0.933179,0.865149,0.704000,200.222502
8,0.861101,0.838019,0.713400,200.145622
9,0.793740,0.835076,0.716600,200.169046
10,0.742605,0.699385,0.758200,200.091834
11,0.700682,0.705487,0.762600,200.343051
12,0.667047,0.731800,0.757000,200.280659
13,0.624513,0.715177,0.761800,200.098326
14,0.590142,0.733728,0.760000,200.120802
15,0.560889,0.811990,0.733000,200.208246
16,0.527251,0.764003,0.753600,200.135850
17,0.506289,0.717998,0.780200,200.099347
18,0.479182,0.756319,0.760600,200.156961
19,0.460605,0.662857,0.789200,200.165814
20,0.440685,0.637573,0.793200,200.164725
21,0.420929,0.669494,0.787600,200.102990
22,0.401447,0.664037,0.795000,200.220125
23,0.374756,0.670942,0.800200,200.176293
24,0.354102,0.727204,0.779600,200.449124
25,0.335560,0.768632,0.792600,200.212129
26,0.326866,0.665913,0.802800,200.171240
27,0.315860,0.646866,0.810000,200.204859
28,0.298619,0.656749,0.804400,200.362567
29,0.287314,0.719122,0.797800,200.397372
30,0.273997,0.688976,0.806200,200.719245
31,0.260065,0.745441,0.802400,200.243878
32,0.253598,0.788395,0.796400,200.253551
33,0.234966,0.722694,0.812800,200.182204
34,0.224787,0.724440,0.804400,200.131595
35,0.210706,0.830066,0.798200,200.237974
36,0.207472,0.721176,0.816800,200.229864
37,0.187859,0.768668,0.811200,200.173804
38,0.182189,0.820643,0.800600,200.260332
39,0.176646,0.775239,0.816600,200.195684
40,0.164354,0.774661,0.809400,200.173240
