epoch,train_loss,avg_valid_loss,valid_accuracy,time
1,1.605515,1.568374,0.497200,218.117799
2,1.165212,1.137226,0.613200,214.305842
3,0.973801,1.022513,0.640800,214.562508
4,0.859451,0.874854,0.710200,214.535530
5,0.773977,0.810527,0.722600,214.529609
6,0.709772,0.818385,0.721200,214.579875
7,0.659757,0.893276,0.723200,215.101228
8,0.610488,0.659112,0.784800,214.570094
9,0.574278,0.681962,0.779400,214.436735
10,0.542057,0.636696,0.797000,214.670083
11,0.513718,0.649613,0.790200,214.704609
12,0.485124,0.599382,0.807400,215.208707
13,0.460337,0.592481,0.805000,214.587022
14,0.432110,0.653088,0.792800,215.228522
15,0.411085,0.582851,0.813800,214.625987
16,0.390577,0.645380,0.804000,214.625713
17,0.371348,0.586062,0.817600,214.714295
18,0.354605,0.596389,0.819200,214.750681
19,0.334238,0.669768,0.807200,214.668176
20,0.323265,0.631567,0.816800,215.055276
21,0.302325,0.677112,0.808800,214.992054
22,0.289269,0.644222,0.814600,214.754892
23,0.270287,0.647256,0.821600,214.689137
24,0.261391,0.655458,0.814200,214.737644
25,0.246199,0.702422,0.812600,215.023961
26,0.230405,0.720361,0.816000,215.046155
27,0.218965,0.757924,0.804800,215.160807
28,0.210828,0.711829,0.816800,214.858982
29,0.200175,0.731743,0.818200,215.909329
30,0.190190,0.729382,0.820000,215.604006
31,0.176198,0.759722,0.826000,214.924626
32,0.169109,0.730473,0.818600,214.884325
33,0.162243,0.801306,0.813200,214.599848
34,0.155193,0.879762,0.804400,214.796358
35,0.148067,0.788781,0.822200,214.783839
36,0.133453,0.799032,0.817600,215.029738
37,0.131957,0.879316,0.811000,214.710140
38,0.125814,0.818772,0.817800,214.863583
39,0.119356,0.847613,0.820400,214.789699
40,0.114105,0.830728,0.829600,214.458897
