epoch,train_loss,train_loss_best,valid_loss,valid_loss_best,valid_accuracy,dur
1.000000,1.999593,1.000000,0.935100,1.000000,0.696680,28.579174
2.000000,0.596375,1.000000,0.432137,1.000000,0.863086,28.201528
3.000000,0.378655,1.000000,0.340320,1.000000,0.885618,28.185046
4.000000,0.309950,1.000000,0.292198,1.000000,0.903196,28.049320
5.000000,0.264801,1.000000,0.260605,1.000000,0.913867,27.943202
6.000000,0.239899,1.000000,0.252817,1.000000,0.918359,27.802481
7.000000,0.220843,1.000000,0.222885,1.000000,0.928391,27.877423
8.000000,0.203277,1.000000,0.215629,1.000000,0.931836,27.642098
9.000000,0.190423,1.000000,0.204843,1.000000,0.934961,27.681832
10.000000,0.181438,1.000000,0.204375,1.000000,0.933984,27.632592
11.000000,0.168868,1.000000,0.189027,1.000000,0.935352,27.645716
12.000000,0.160016,1.000000,0.192035,0.000000,0.935547,27.669571
13.000000,0.152073,1.000000,0.176053,1.000000,0.945508,27.520014
14.000000,0.145524,1.000000,0.177008,0.000000,0.941406,27.676629
15.000000,0.136802,1.000000,0.169066,1.000000,0.939453,27.547322
16.000000,0.132330,1.000000,0.166938,1.000000,0.943945,27.584064
17.000000,0.124341,1.000000,0.165698,1.000000,0.945508,27.770841
18.000000,0.120160,1.000000,0.168281,0.000000,0.943945,27.866394
19.000000,0.114583,1.000000,0.158040,1.000000,0.946680,27.949440
20.000000,0.110435,1.000000,0.164091,0.000000,0.945312,28.063888
21.000000,0.106107,1.000000,0.160467,0.000000,0.944922,27.960875
22.000000,0.100816,1.000000,0.151447,1.000000,0.948828,28.067500
23.000000,0.095931,1.000000,0.155301,0.000000,0.946680,27.606187
24.000000,0.090686,1.000000,0.151302,1.000000,0.949414,27.499200
25.000000,0.086226,1.000000,0.159986,0.000000,0.947461,27.643146
26.000000,0.083123,1.000000,0.149174,1.000000,0.950977,27.517433
27.000000,0.080022,1.000000,0.151441,0.000000,0.951172,27.686257
28.000000,0.075965,1.000000,0.152317,0.000000,0.948438,27.545214
29.000000,0.072026,1.000000,0.148760,1.000000,0.952734,27.559275
