num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
5,0,0.772962324551
5,1,0.769268653041
5,2,0.766806205368
5,3,0.765574981532
5,4,0.755971435607
5,5,0.77665599606
5,6,0.768529918739
5,7,0.77025363211
5,8,0.762373799557
5,9,0.759665107116
10,0,0.76754493967
10,1,0.764343757695
10,2,0.777148485595
10,3,0.739226791431
10,4,0.774932282689
10,5,0.758926372815
10,6,0.768529918739
10,7,0.71829598621
10,8,0.762127554789
10,9,0.768037429205
20,0,0.778872198966
20,1,0.782565870475
20,2,0.791676926865
20,3,0.777640975129
20,4,0.635065254863
20,5,0.783304604777
20,6,0.782073380941
20,7,0.782319625708
20,8,0.787490765821
20,9,0.759172617582
40,0,0.470819995075
40,1,0.773208569318
40,2,0.723220881556
40,3,0.681113026348
40,4,0.713124846097
40,5,0.524993843881
40,6,0.719280965279
40,7,0.758926372815
40,8,0.725683329229
40,9,0.738488057129
80,0,0.231470081261
80,1,0.301403595174
80,2,0.335139128294
80,3,0.400393991628
80,4,0.347451366658
80,5,0.351637527703
80,6,0.371583353854
80,7,0.3637035213
80,8,0.339571534105
80,9,0.360009849791
