num_to_fix,seed,valid_accuracy
1,0,0.765821226299
1,1,0.77123861118
1,2,0.748337847821
1,3,0.763358778626
1,4,0.766313715834
1,5,0.759172617582
1,6,0.760157596651
1,7,0.759172617582
1,8,0.757695148978
1,9,0.757695148978
5,0,0.768037429205
5,1,0.765821226299
5,2,0.758187638513
5,3,0.768776163507
5,4,0.766806205368
5,5,0.75203151933
5,6,0.755232701305
5,7,0.763358778626
5,8,0.756463925142
5,9,0.763605023393
10,0,0.769268653041
10,1,0.761635065255
10,2,0.764097512928
10,3,0.76483624723
10,4,0.772223590249
10,5,0.756956414676
10,6,0.761881310022
10,7,0.757941393745
10,8,0.750800295494
10,9,0.763112533859
20,0,0.771977345481
20,1,0.775917261758
20,2,0.765082491997
20,3,0.77394730362
20,4,0.78305836001
20,5,0.772223590249
20,6,0.767791184437
20,7,0.768776163507
20,8,0.773208569318
20,9,0.767791184437
40,0,0.796601822211
40,1,0.788721989658
40,2,0.790199458262
40,3,0.786752031519
40,4,0.786259541985
40,5,0.791184437331
40,6,0.781827136173
40,7,0.789706968727
40,8,0.798325535582
40,9,0.792661905934
